edge_id,hour,duration_mins,traffic_density,is_weekend,daily_train_volume,track_distance_km,trains_affected,delay_mins
BAM-BBS,7,360,0,1,3,166,0,0
BAM-BBS,19,360,3,0,3,166,3,262
BAM-BBS,22,120,3,0,3,166,3,186
BAM-BBS,12,240,0,1,3,166,0,0
BAM-BBS,3,240,0,0,3,166,0,0
BAM-BBS,18,480,3,1,3,166,3,297
BAM-BBS,1,180,0,0,3,166,0,0
BAM-BBS,6,120,0,0,3,166,0,0
BAM-BBS,8,300,0,1,3,166,0,0
BAM-BBS,2,360,0,1,3,166,0,0
BAM-BBS,16,180,0,0,3,166,0,0
BAM-BBS,5,360,0,1,3,166,0,0
BAM-BBS,16,120,0,1,3,166,0,0
BAM-BBS,18,360,3,1,3,166,3,248
BAM-BBS,2,120,0,0,3,166,0,0
BAM-VSKP,18,480,8,1,11,277,9,1050
BAM-VSKP,5,120,0,1,11,277,0,0
BAM-VSKP,22,240,7,0,11,277,7,762
BAM-VSKP,22,240,7,1,11,277,8,883
BAM-VSKP,14,360,1,1,11,277,1,114
BAM-VSKP,3,480,0,1,11,277,0,0
BAM-VSKP,22,120,1,0,11,277,1,41
BAM-VSKP,13,360,1,1,11,277,1,118
BAM-VSKP,6,480,3,1,11,277,3,331
BAM-VSKP,7,240,0,0,11,277,0,0
BAM-VSKP,3,300,0,0,11,277,0,0
BAM-VSKP,0,360,6,0,11,277,6,552
BAM-VSKP,20,120,0,0,11,277,0,0
BAM-VSKP,2,360,0,0,11,277,0,0
BAM-VSKP,19,480,7,0,11,277,7,790
BZA-VSKP,2,360,3,1,4,350,3,271
BZA-VSKP,19,60,0,0,4,350,0,0
BZA-VSKP,12,480,1,1,4,350,1,162
BZA-VSKP,19,480,0,0,4,350,0,0
BZA-VSKP,15,120,0,0,4,350,0,0
BZA-VSKP,12,180,1,0,4,350,1,44
BZA-VSKP,16,480,0,1,4,350,0,0
BZA-VSKP,15,60,0,0,4,350,0,0
BZA-VSKP,12,60,1,1,4,350,1,49
BZA-VSKP,1,60,0,1,4,350,0,0
BZA-VSKP,13,60,0,1,4,350,0,0
BZA-VSKP,17,360,0,1,4,350,0,0
BZA-VSKP,0,180,0,0,4,350,0,0
BZA-VSKP,6,240,1,1,4,350,1,71
BZA-VSKP,10,240,1,0,4,350,1,69
BZA-RU,21,360,5,1,12,376,5,518
BZA-RU,12,240,0,1,12,376,0,0
BZA-RU,12,360,1,1,12,376,1,114
BZA-RU,7,120,0,0,12,376,0,0
BZA-RU,12,120,0,0,12,376,0,0
BZA-RU,7,60,0,1,12,376,0,0
BZA-RU,2,300,4,0,12,376,4,306
BZA-RU,23,480,5,0,12,376,5,536
